id,actor
1147,Stanley Tucci
1148,Helen McCrory
1149,Steven Waddington
1150,Jennifer Ehle
1151,Rupert Penry-Jones
1152,Paula Paul
1153,Danny Webb
1154,Phyllida Law
1155,Maricel Soriano
1156,Aga Muhlach
1157,Angelica Panganiban
1158,Dante Rivero
1159,Chin Chin Gutierrez
1160,Bobby Andrews
1161,TJ Trinidad
1162,Baron Geisler
1163,John Arcilla
1164,Gerald Madrid
1165,Gérard Depardieu
1166,Chantal Lauby
1167,Medi Sadoun
1168,Ilian Bergala
1169,Blanche Gardin
1170,Patrick Timsit
1171,Barbara Cabrita
1172,Jean Dell
1173,Thomas Vandenberghe
1174,Théo Fernandez
1175,Léa Lopez
1176,Lewis MacDougall
1177,Sigourney Weaver
1178,Felicity Jones
1179,Liam Neeson
1180,Toby Kebbell
1181,Ben Moor
1182,James Melville
1183,Oliver Steer
1184,Dominic Boyle
1185,Geraldine Chaplin
1186,Jennifer Lim
1187,Oscar Isaac
1188,Jessica Chastain
1189,David Oyelowo
1190,Albert Brooks
1191,Elyes Gabel
1192,Catalina Sandino Moreno
1193,Christopher Abbott
1194,Peter Gerety
1195,Alessandro Nivola
1196,Nia Fairweather
1197,Chris Noth
1198,Cooper Koch
1199,Tyra Ferrell
1200,Denny Dillon
1201,Adriana DeMeo
1202,Otoja Abit
1203,David Anzuelo
1204,Camilla Harden
1205,Natasha Goodman
1206,Avery Whitted
1207,Tony D. Head
1208,Joe Perrino
1209,Will Ferrell
1210,Chris Kattan
1211,Dan Hedaya
1212,Molly Shannon
1213,Richard Grieco
1214,Loni Anderson
1215,Elisa Donovan
1216,Gigi Rice
1217,Lochlyn Munro
1218,Dwayne Hickman
1219,Gijs Scholten van Aschat
1220,Jacob Derwig
1221,Rifka Lodeizen
1222,Juda Goslinga
1223,Zeb Troostwijk
1224,Elisabeth Hesemans
1225,Joosje Duk
1226,Stephen Graham
1227,Conleth Hill
1228,Lara Pulver
1229,Arsher Ali
1230,Stuart Graham
1231,Ian McElhinney
1232,Barbara Niven
1233,Jessica Clark
1234,Morgan Fairchild
1235,Kerry Knuppe
